sekolah,Jakarta Timur,Jakarta Utara,Jakarta Barat,Jakarta Selatan,Jakarta Pusat,Kepulauan Seribu,lintang,bujur,alamat_jalan
SMAN 1 JAKARTA,14.6,8.9,10.8,15.3,4.2,,-61.672.000,1.068.373.000,JL. BUDI UTOMO NO. 7
SMAN 10 JAKARTA,18.4,11,11.4,16.4,6,,-61.462.000,1.068.264.000,JL. MANGGA BESAR XIII
SMAN 100 JAKARTA,2.7,10.4,22.5,14.3,11.6,,-62.294.000,1.068.826.000,JL. PERSATUAN 2
SMAN 101 JAKARTA,28.3,37.5,11.2,18.9,17.6,,-62.180.000,1.067.199.000,JL. KOMPLEK JOGLO BARU
SMAN 102 JAKARTA,11.9,12.8,39.1,33.2,17.9,,-61.671.000,1.069.506.000,JL. KAYU TINGGI,CAKUNG JAKARTA TIMUR
SMAN 103 JAKARTA,5.6,16.9,35.4,32.1,18.1,,-62.209.000,1.069.373.000,JL. MAWAR MERAH VI PERUMNAS KLENDER
SMAN 104 JAKARTA,15,20.5,28.9,10.8,17.7,,-62.991.000,1.068.622.000,JL. H. TAIMAN BARAT KEL.GEDONG,JAKARTA TIMUR
SMAN 105 JAKARTA,19,24.5,32.7,15.7,22.7,,-63.316.000,1.068.837.000,Jln. Usman Kelapa Dua Wetan
SMAN 106 JAKARTA,21,27,35.2,16.4,26.4,,-63.148.000,1.068.748.000,JL. GANDARIA I PEKAYON PASAR REBO JAKARTA TIMUR
SMAN 107 JAKARTA,5.5,11,31.2,25,16.4,,-62.059.000,1.069.253.000,JL. RAWA BADUNG TIMUR CAKUNG
SMAN 108 JAKARTA,26.6,32.5,12.6,10.6,15.3,,-62.527.000,1.067.619.000,Jl. Kesadaran, Ulujami Raya
SMAN 109 JAKARTA,23.5,29.1,31,13.6,25.5,,-63.450.000,1.068.356.000,JL. GARDU NO. 31
SMAN 11 JAKARTA,7.4,13.2,37.3,34,17.2,,-62.057.000,1.069.403.000,JL. P KOMARUDIN 1 PANDIDIKAN PULO GEBANG CAKUNG JAKARTA TIMUR
SMAN 110 JAKARTA,19.7,8.9,23.5,37.7,13.5,,-61.337.000,1.069.050.000,JL. BENDUNGAN MELAYU NO 80
SMAN 111 JAKARTA,27.3,16.4,6.7,18.2,10.3,,-61.359.000,1.068.017.000,JL. BANDENGAN UTARA 80
SMAN 112 JAKARTA,24,19.3,4.7,14.6,10,,-61.911.000,1.067.565.000,JL. SANGGRAHAN
SMAN 113 JAKARTA,15.7,21.1,29.2,18.4,20.4,,-62.929.000,1.069.030.000,JL. ALBAIDHO I/MONUMEN LUBANG BUAYA JAKARTA TIMUR
SMAN 114 JAKARTA,22,12,26.6,38.8,19.7,,-61.097.000,1.069.356.000,JL. PEDONGKELAN NO 25
SMAN 115 JAKARTA,15,15.7,43.1,39.8,20.8,,-61.511.000,1.069.569.000,JL. ROROTAN X
SMAN 12 JAKARTA,1.8,11.6,26.3,26.3,13.2,,-62.147.000,1.068.978.000,JL. PERTANIAN KLENDER
SMAN 13 JAKARTA,16.8,6,20.6,34.8,13.1,,-61.191.000,1.068.946.000,JL. SEROJA NO.1 TANJUNG PRIOK
